KEYS;fr;de
TR_GRADES;Grades;Dienstgrade
TR_DE_L_ARMEE_SUISSE;De l'Armée Suisse;Der Schweizer Armee
TR_TEST_DES_GRADES;Test des Grades;Test der Dienstgrade
TR_PARAMETRES;Paramètres;Parameter
TR_TENUE_A;tenue A;Tenü A
TR_BERET;Bérets;Berets
TR_ARMES_ET_SERVICES;Armes et Services;Truppengattungen und Dienstzweige
TR_FONCTIONS;Fonctions;Funktionen
TR_DISTINCTIONS;Distinctions;Auszeichnungen
TR_EPAULETTES;Epaulettes;Achselschlaufen
TR_TENUE_C;tenue C;Tenü C
TR_PARTICULIERS;Particuliers;Besondere
