KEYS;fr;de
TR_INTRODUCTION;Introduction;Einleitung
TR_CLAUSE_DE_NON_RESPONSABILITE;[font_size=75][b]Clause de non-responsabilité[/b][/font_size]\n\nCette application est développée de manière indépendante et n'est pas une application officielle de l'Armée Suisse. Elle n'est pas affiliée, approuvée ou endossée par l'Armée Suisse.\nSon objectif est uniquement éducatif, pour aider les utilisateurs à apprendre et reconnaître les grades & d'autres insignes de l'Armée Suisse. Toutes les informations présentées sont publiques et utilisées dans un contexte pédagogique.\n\n\n[font_size=75][b]Sources des informations[/b][/font_size]\n\nLes informations contenues dans cette application sont basées sur les sources suivantes :\n[ul][url=https://www.armee.ch/fr/insignes-militaires]https://www.armee.ch/fr/insignes-militaires[/url] : Site officiel de l'Armée Suisse présentant les insignes militaires et leurs significations[/ul]\n[ul][url=https://en.wikipedia.org/wiki/Ranks_of_the_Swiss_Army]https://en.wikipedia.org/wiki/Ranks_of_the_Swiss_Army[/url] : Article Wikipédia détaillant la hiérarchie et les grades de l'Armée Suisse[/ul];[font_size=75][b]Haftungsausschluss[/b][/font_size]\n\nDiese Anwendung wurde unabhängig entwickelt und ist keine offizielle Anwendung der Schweizer Armee. Sie ist weder mit der Schweizer Armee verbunden noch von ihr gebilligt oder unterstützt.\nIhr Ziel ist ausschließlich pädagogisch, um Benutzern zu helfen, die Grade und anderen Abzeichen der Schweizer Armee zu lernen und zu erkennen. Alle präsentierten Informationen sind öffentlich zugänglich und werden in einem pädagogischen Kontext verwendet.\n\n\n[font_size=75][b]Informationsquellen[/b][/font_size]\n\nDie Informationen in dieser Anwendung basieren auf folgenden Quellen:\n[ul][url=https://www.armee.ch/fr/insignes-militaires]https://www.armee.ch/fr/insignes-militaires[/url] : Offizielle Website der Schweizer Armee mit militärischen Abzeichen und ihren Bedeutungen[/ul]\n[ul][url=https://en.wikipedia.org/wiki/Ranks_of_the_Swiss_Army]https://en.wikipedia.org/wiki/Ranks_of_the_Swiss_Army[/url] : Wikipedia-Artikel, der die Hierarchie und Ränge der Schweizer Armee detailliert beschreibt[/ul]
TR_CONTINUER;Continuer;Weiter
